xflr5 v6.48

Plane name :        Tailsitter
Polar name :        T1-18.0 m/s-VLM1-1.0kg-x0.0m
Freestream speed :  18.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -2.000     0.000   0.088463   0.000927   0.019104   0.020030   0.000000  -0.000000  -0.039843   0.000000   0.000000   18.0000     0.0777
   -1.000     0.000   0.151205   0.002269   0.016733   0.019002   0.000000  -0.000000  -0.048787  -0.000000   0.000000   18.0000     0.0555
    0.000     0.000   0.213852   0.004296   0.014932   0.019227   0.000000  -0.000000  -0.057731  -0.000000  -0.000000   18.0000     0.0463
    1.000     0.000   0.276351   0.007002   0.013149   0.020151   0.000000  -0.000000  -0.066665  -0.000000  -0.000000   18.0000     0.0413
    2.000     0.000   0.338647   0.010381   0.011701   0.022082   0.000000  -0.000000  -0.075582  -0.000000  -0.000000   18.0000     0.0381
    3.000     0.000   0.400685   0.014426   0.011508   0.025934   0.000000  -0.000000  -0.084484  -0.000000  -0.000000   18.0000     0.0360
    4.000     0.000   0.462412   0.019126   0.011600   0.030726   0.000000   0.000000  -0.093358  -0.000000  -0.000000   18.0000     0.0344
    5.000     0.000   0.523774   0.024468   0.011879   0.036348   0.000000  -0.000000  -0.102191  -0.000000  -0.000000   18.0000     0.0332
    6.000     0.000   0.584720   0.030440   0.012210   0.042650   0.000000  -0.000000  -0.110973   0.000000   0.000000   18.0000     0.0323
    7.000     0.000   0.645197   0.037024   0.012570   0.049593   0.000000  -0.000000  -0.119692   0.000000   0.000000   18.0000     0.0316
    8.000     0.000   0.705156   0.044202   0.012963   0.057165   0.000000  -0.000000  -0.128338  -0.000000   0.000000   18.0000     0.0310
    9.000     0.000   0.764547   0.051955   0.013393   0.065347   0.000000  -0.000000  -0.136901  -0.000000  -0.000000   18.0000     0.0305
   10.000     0.000   0.823321   0.060260   0.013866   0.074126   0.000000  -0.000000  -0.145371   0.000000   0.000000   18.0000     0.0301
   11.000     0.000   0.881431   0.069096   0.014323   0.083419   0.000000  -0.000000  -0.153736   0.000000   0.000000   18.0000     0.0297
   12.000     0.000   0.938831   0.078435   0.014788   0.093223   0.000000  -0.000000  -0.161988   0.000000   0.000000   18.0000     0.0295
   13.000     0.000   0.995478   0.088253   0.015498   0.103751   0.000000  -0.000000  -0.170122  -0.000000  -0.000000   18.0000     0.0292
   14.000     0.000   1.051328   0.098520   0.017645   0.116165   0.000000  -0.000000  -0.178176   0.000000  -0.000000   18.0000     0.0290
   15.000     0.000   1.106340   0.109207   0.029508   0.138715   0.000000  -0.000000  -0.186490   0.000000   0.000000   18.0000     0.0289


