xflr5 v6.48

Plane name :        Tailsitter
Polar name :        T1-18.0 m/s-VLM2-1.0kg-x0.0m
Freestream speed :  18.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -5.000     0.000  -0.519633   0.024012   0.045070   0.069082   0.000000   0.000000   0.151337   0.000000  -0.000000   18.0000     0.0501
   -4.000     0.000  -0.459481   0.018779   0.038450   0.057228   0.000000   0.000000   0.143473   0.000000  -0.000000   18.0000     0.0536
   -3.000     0.000  -0.398973   0.014169   0.032934   0.047103   0.000000   0.000000   0.135513   0.000000  -0.000000   18.0000     0.0583
   -2.000     0.000  -0.338160   0.010195   0.027449   0.037643   0.000000   0.000000   0.127450   0.000000  -0.000000   18.0000     0.0647
   -1.000     0.000  -0.277094   0.006866   0.022147   0.029013   0.000000   0.000000   0.119296   0.000000   0.000000   18.0000     0.0739
    0.000     0.000  -0.215829   0.004190   0.019316   0.023506   0.000000   0.000000   0.111071   0.000000   0.000000   18.0000     0.0883
    1.000     0.000  -0.154417   0.002174   0.017188   0.019362   0.000000   0.000000   0.102760   0.000000   0.000000   18.0000     0.1143
    2.000     0.000  -0.092912   0.000822   0.015645   0.016466   0.000000   0.000000   0.094363  -0.000000   0.000000   18.0000     0.1746
    3.000     0.000  -0.031368   0.000134   0.014568   0.014702   0.000000   0.000000   0.085891   0.000000  -0.000000   18.0000     0.4718
    4.000     0.000   0.030163   0.000112   0.014511   0.014623   0.000000   0.000000   0.077348  -0.000000   0.000000   18.0000    -0.4433
    5.000     0.000   0.091627   0.000752   0.014655   0.015407   0.000000  -0.000000   0.068739  -0.000000   0.000000   18.0000    -0.1303
    6.000     0.000   0.152969   0.002052   0.014862   0.016914   0.000000  -0.000000   0.060075  -0.000000  -0.000000   18.0000    -0.0687
    7.000     0.000   0.214138   0.004004   0.014948   0.018952   0.000000  -0.000000   0.051369   0.000000   0.000000   18.0000    -0.0423
    8.000     0.000   0.275080   0.006600   0.014896   0.021497   0.000000  -0.000000   0.042633  -0.000000  -0.000000   18.0000    -0.0277
    9.000     0.000   0.335744   0.009831   0.014759   0.024591   0.000000  -0.000000   0.033876  -0.000000  -0.000000   18.0000    -0.0184
   10.000     0.000   0.396077   0.013685   0.014683   0.028368   0.000000  -0.000000   0.025107   0.000000   0.000000   18.0000    -0.0119
   11.000     0.000   0.456030   0.018147   0.014651   0.032798   0.000000  -0.000000   0.016337  -0.000000  -0.000000   18.0000    -0.0072
   12.000     0.000   0.515551   0.023201   0.014756   0.037957   0.000000  -0.000000   0.007575  -0.000000  -0.000000   18.0000    -0.0036
   13.000     0.000   0.574593   0.028830   0.014887   0.043718   0.000000  -0.000000  -0.001169  -0.000000  -0.000000   18.0000    -0.0007
   14.000     0.000   0.633107   0.035015   0.015035   0.050050   0.000000  -0.000000  -0.009883  -0.000000  -0.000000   18.0000     0.0017
   15.000     0.000   0.691046   0.041734   0.015330   0.057065   0.000000  -0.000000  -0.018560  -0.000000  -0.000000   18.0000     0.0036
   16.000     0.000   0.748364   0.048965   0.015810   0.064776   0.000000  -0.000000  -0.027189   0.000000  -0.000000   18.0000     0.0053
   17.000     0.000   0.805018   0.056683   0.018434   0.075117   0.000000  -0.000000  -0.035815   0.000000  -0.000000   18.0000     0.0067
   18.000     0.000   0.860964   0.064863   0.022304   0.087166   0.000000  -0.000000  -0.044424   0.000000  -0.000000   18.0000     0.0080


